City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
189,Kavieng,PG,81.77,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
191,Villarrica,PY,82.81,broken clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
194,Saint Anthony,US,82.72,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
196,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
199,Szentlorinc,HU,74.28,overcast clouds,46.0402,17.9872,Camping Idyll
203,Sibolga,ID,77.99,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
208,Praya,CV,81.14,scattered clouds,14.9215,-23.5087,LT Aparthotel
212,Galle,LK,80.08,broken clouds,6.0367,80.217,Amangalla
213,Labuhan,ID,79.66,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
214,Hami,CN,83.61,clear sky,42.8,93.45,Laoyutang Resort
